variable,n,spearman_rho,p_value
n_artworks,47,0.4385525987942264,0.0020461296337341626
room_area,47,0.3620490286771508,0.012393915504716453
unique_visitors,47,0.21823117175437295,0.14057356247517266
in_transitions,47,0.18147636960100746,0.2221597686892288
n_next_rooms,47,-0.005323820037052048,0.9716685418998486
